gauge_id;gauge;leitercharackter_huek250;gesteinsart_huek250;soil_texture_boart_1000;durchlässigkeit_huek250;dominating_soil_type_bk500;land_use_corine;area_m2_watershed;grundwasserneubildung_gwn_1000;greundigkeit_physgru_1000;slope_mean_dem_40;elongation_ratio;et_mean;dis_mean;prec_mean;runoff_ratio
25860454;Rod an der Weil;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;77929172.02;100.4810425;5.034132841;9.987016275;0.437536209;570.4608196;280.6070605;851.0678801;0.329711727
42880800;Roellshausen;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Agriculture;250847712.7;117.8271486;14.33662528;4.250890087;0.474833298;513.0195138;207.3632685;720.3827823;0.287851506
42260250;Rothemann;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Grassland;69604266.21;167.7079243;5.655521783;7.230735029;0.550229475;478.0897233;388.8199698;866.6775124;0.448632812
24820206;Ruppertsburg;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Wood;29459574.85;119.8495537;11.28571429;6.728105544;0.337684933;595.1738161;227.1460258;822.3198419;0.276225885
42410104;Schlechtenwegen;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Grassland;41257054.65;254.7066681;8.785542169;4.534702206;0.466318434;460.8284735;544.0224219;1030.400113;0.527972013
24810155;Schotten 1;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Wood;27071501.72;231.8215708;6.325675676;6.888010124;0.466344213;552.2313882;478.6346455;1030.866034;0.46430344
24810202;Schotten 2;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Grassland;5905481.555;169.0653168;7.994252874;6.84733461;0.467583032;615.4441763;318.8717242;934.3159006;0.341288984
42660451;Silges;Grundwasser-Leiter;Sediment;Lehmsande (ls);maessig (>1E-5 - 1E-4);Dystric Cambisols;Grassland;78842631.97;122.478569;6.24340949;7.191700725;0.577388575;555.5495847;282.5886483;841.646465;0.335756948
24780757;Steinau;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering (>1E-7 - 1E-5);Eutric Cambisols / Stagnic Gleysols ;Grassland;116167685.9;132.8361812;8.330118233;7.014308549;0.599405522;534.2533303;374.2953552;908.5098274;0.411988229
24860109;Steinberg;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Grassland;24585214.22;234.951345;6.298076923;6.271141276;0.317963406;496.4043581;526.0370934;1022.441452;0.514491165
24810600;Unter-Schmitten;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Grassland;126835222.3;159.8743092;9.50653038;6.461846835;0.55667032;544.7176761;341.9377075;886.6553836;0.385648939
42882806;Uttershausen;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Spodic Cambisols;Agriculture;987011232.5;101.0512745;12.6488061;4.7228076;0.404093461;511.6665923;196.6493018;708.3158941;0.277629379
24861407;Windecken;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Agriculture;392467674.3;136.1665177;10.34535987;5.188275934;0.404809199;543.9539286;260.6515638;804.6054923;0.323949521
41980355;Ziegenhagen 1;Grundwasser-Geringleiter;Sediment;Lehmsande (ls);gering (>1E-7 - 1E-5);Dystric Cambisols;Wood;14248082.6;158.1433073;5.944174757;14.16224443;0.655398532;548.1134741;317.109664;865.2231381;0.366506223
